Rank,Previous,School,Conference,WAB,Record (wins),Record (loss),Road (wins),Road (loss),Neutral (wins),Neutral (loss),Quad 1 (wins),Quad 1 (loss),Quad 2 (wins),Quad 2 (loss),Quad 3 (wins),Quad 3 (loss),Quad 4 (wins),Quad 4 (loss)
35,35,UC San Diego,Big West,45,28,4,12,2,5,0,2,1,2,1,9,2,15,0
36,36,North Carolina,ACC,42,22,13,6,6,4,4,1,12,8,0,7,1,6,0
37,37,Utah St.,Mountain West,38,25,7,7,4,4,1,2,4,8,3,5,0,10,0
38,38,Creighton,Big East,31,24,10,6,5,3,3,6,6,5,4,8,0,5,0
39,39,Texas,SEC,46,19,15,4,6,4,2,7,10,3,5,2,0,7,0
40,40,Arkansas,SEC,39,20,13,4,6,2,3,5,10,4,3,4,0,7,0
41,41,Ohio St.,Big Ten,55,17,15,4,7,2,2,6,11,3,4,2,0,6,0
42,42,New Mexico,Mountain West,34,25,7,7,4,3,2,3,4,8,1,4,2,10,0
43,43,Oklahoma,SEC,32,20,13,2,7,6,1,7,11,4,1,2,1,7,0
44,44,Boise St.,Mountain West,53,23,10,6,5,5,3,3,6,5,2,5,1,10,1
45,45,Xavier,Big East,49,21,11,5,7,1,2,1,9,8,2,5,0,7,0
46,46,SMU,ACC,58,23,10,7,4,4,1,0,5,6,5,12,0,5,0
47,47,Colorado St.,Mountain West,47,25,9,7,4,4,3,3,5,7,2,4,2,11,0
48,48,Vanderbilt,SEC,37,20,12,3,7,3,2,5,9,4,3,3,0,8,0
49,50,Memphis,The American,23,29,5,11,2,5,1,6,1,5,2,11,2,7,0
50,49,Cincinnati,Big 12,61,18,15,4,9,2,1,3,12,7,3,2,0,6,0
51,51,West Virginia,Big 12,43,19,13,4,7,2,2,6,10,4,3,4,0,5,0
52,52,San Diego St.,Mountain West,44,20,9,6,4,3,2,3,6,5,2,4,1,8,0
53,53,Northwestern,Big Ten,70,17,16,2,9,3,2,3,12,6,3,3,1,5,0
54,54,Indiana,Big Ten,48,19,13,4,6,1,3,4,13,5,0,6,0,4,0
55,55,Villanova,Big East,71,19,14,3,8,2,3,2,7,5,4,5,2,7,1
56,56,Drake,MVC,41,28,3,10,1,6,0,2,0,4,0,11,3,11,0
57,57,Santa Clara,WCC,84,20,12,6,5,3,3,2,4,4,3,5,4,9,1
58,58,McNeese,Southland,59,25,6,10,2,4,3,0,2,1,2,6,2,18,0
59,59,Nebraska,Big Ten,57,17,14,5,7,2,1,5,10,4,2,2,2,6,0
60,60,Liberty,CUSA,60,25,6,9,2,7,1,0,0,3,2,14,4,8,0
61,61,Pittsburgh,ACC,89,17,15,3,9,1,2,1,9,4,3,5,3,7,0
62,62,UC Irvine,Big West,54,27,6,14,3,4,1,1,1,3,2,12,3,11,0
63,63,Iowa,Big Ten,63,17,16,2,8,3,2,2,15,6,0,2,1,7,0
64,64,San Francisco,WCC,52,23,9,5,5,3,2,1,6,3,3,8,0,11,0
65,65,North Texas,The American,68,22,8,7,5,2,2,0,3,4,2,9,2,9,1
66,66,Penn St.,Big Ten,82,16,15,3,8,2,1,2,10,3,3,4,2,7,0
67,67,Dayton,Atlantic 10,62,21,10,5,4,1,4,3,3,2,6,10,1,6,0
68,68,George Mason,Atlantic 10,56,25,8,7,6,2,1,1,4,4,0,9,3,11,1
69,69,Wake Forest,ACC,51,21,11,6,6,2,2,2,8,6,1,7,2,6,0
70,70,Southern California,Big Ten,81,16,17,3,7,1,3,3,13,4,2,3,2,6,0
71,71,UCF,Big 12,67,17,16,2,8,2,3,3,11,3,5,6,0,5,0
72,72,Yale,Ivy League,75,21,7,7,6,4,1,0,1,2,1,6,3,13,2
73,73,Utah,Big 12,77,16,16,1,9,0,3,2,12,4,4,2,0,8,0
74,74,Arizona St.,Big 12,80,13,19,3,8,5,2,4,14,3,4,2,1,4,0
75,75,Kansas St.,Big 12,72,16,17,3,9,3,2,5,10,3,6,3,1,5,0
76,76,Saint Joseph's,Atlantic 10,111,22,12,4,6,5,2,1,3,3,4,8,3,10,2
77,77,Rutgers,Big Ten,78,15,17,3,8,1,4,4,13,3,2,2,2,6,0
78,78,TCU,Big 12,64,16,16,2,9,0,4,4,12,4,4,3,0,5,0
79,79,Nevada,Mountain West,126,17,16,3,8,3,2,1,7,2,6,4,3,10,0
80,80,Bradley,MVC,69,25,8,8,3,5,2,1,0,2,6,11,2,11,0
81,81,Stanford,ACC,73,20,13,3,8,1,3,2,8,2,4,7,0,9,1
82,82,High Point,Big South,66,27,5,7,3,6,1,0,0,1,0,8,3,18,2
83,83,Butler,Big East,118,14,19,2,9,3,2,1,11,4,6,4,1,5,1
84,84,Lipscomb,ASUN,92,23,9,10,6,0,0,0,2,1,2,6,3,16,2
85,85,Oregon St.,WCC,90,19,12,3,7,2,2,1,7,2,2,4,1,12,2
86,86,Colorado,Big 12,93,14,20,0,10,3,3,2,15,4,5,3,0,5,0
87,87,South Carolina,SEC,99,12,20,1,10,1,2,1,16,2,3,3,0,6,1
88,88,Georgetown,Big East,98,17,15,3,9,0,1,1,8,4,4,3,3,9,0
89,89,LSU,SEC,74,14,18,2,8,1,3,2,15,2,3,2,0,8,0
90,90,Florida St.,ACC,116,17,15,2,9,4,1,1,6,2,6,6,2,8,1
91,91,Akron,MAC,65,26,6,8,4,4,2,0,1,1,2,7,3,18,0
92,92,Grand Canyon,WAC,76,25,7,5,4,5,2,0,1,1,3,9,2,15,1
93,93,UNI,MVC,129,19,12,5,5,1,4,0,1,2,6,10,4,7,1
94,94,Arkansas St.,Sun Belt,108,23,10,8,5,3,3,1,1,2,3,4,4,16,2
95,96,Oklahoma St.,Big 12,85,15,17,2,10,1,4,1,14,5,2,3,1,6,0
96,95,Minnesota,Big Ten,86,15,17,5,5,0,3,7,8,1,7,1,2,6,0
97,97,St. Bonaventure,Atlantic 10,91,21,11,7,6,3,2,0,3,4,4,9,3,8,1
98,98,UNLV,Mountain West,102,18,15,5,7,1,3,1,8,2,6,6,0,9,1
99,99,Troy,Sun Belt,97,21,10,9,6,3,0,0,3,2,1,5,3,14,3
100,100,Providence,Big East,161,12,20,2,9,0,5,1,9,2,8,3,3,6,0
101,101,Saint Louis,Atlantic 10,132,17,14,4,8,1,3,0,3,1,8,9,3,7,0
102,102,UNCW,CAA,83,25,7,9,4,3,0,0,1,0,0,8,3,17,3
103,103,Notre Dame,ACC,142,15,18,3,9,1,4,0,8,4,7,5,1,6,2
104,105,CSUN,Big West,107,20,10,10,6,2,1,1,2,0,3,6,4,13,1
105,106,Middle Tenn.,CUSA,110,20,11,8,5,3,2,0,2,1,5,14,4,5,0
106,104,UAB,The American,122,21,12,5,5,3,3,0,3,4,2,5,5,12,2
107,107,Loyola Chicago,Atlantic 10,103,21,11,5,5,1,5,0,3,1,4,11,4,9,0
108,108,Utah Valley,WAC,87,23,8,10,6,3,2,0,0,0,5,10,2,13,1
109,109,Georgia Tech,ACC,113,17,16,2,9,1,2,3,7,0,7,5,1,9,1
110,110,Virginia,ACC,114,15,17,4,7,1,3,2,9,1,5,5,2,7,1
111,111,Fla. Atlantic,The American,157,17,15,6,7,4,3,0,4,2,4,3,5,12,2
112,112,Washington St.,WCC,105,19,14,4,7,5,3,1,7,3,5,4,0,11,2
113,113,North Ala.,ASUN,119,22,10,7,9,1,0,0,1,0,3,2,6,20,0
114,114,Northern Colo.,Big Sky,104,22,9,9,6,3,1,0,1,0,2,6,5,16,1
115,115,Chattanooga,SoCon,88,22,9,10,5,1,1,0,3,3,0,7,4,12,2
116,116,Samford,SoCon,106,20,10,9,6,0,1,0,2,3,2,5,6,12,0
117,117,Washington,Big Ten,112,12,18,2,9,2,0,3,12,3,4,1,2,5,0
118,118,St. Thomas (MN),Summit League,121,21,10,7,8,3,2,0,1,1,3,6,5,14,1
119,120,DePaul,Big East,137,14,19,2,10,1,1,0,11,3,5,3,3,8,0
120,119,Cornell,Ivy League,143,16,11,8,5,1,1,0,1,1,3,3,4,12,3
121,121,Illinois St.,MVC,164,18,14,5,7,2,3,0,1,1,5,7,6,10,2
122,122,Jacksonville St.,CUSA,123,19,12,7,7,3,3,0,2,2,3,11,5,6,2
